Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,dct:date,dct:description,dct:issued,dct:title,defines,owl:equivalentclass,prefix dct:,prefix desm:,rdfs:comment,rdfs:label,rdfs:subclassof,skos:scopenote
1,Document,,,,,,,,,DRAFT,DESM Model,,,,,,,,,,,,,,
2,Page,,,,,,,,,,RDF Schema,,,2021-12-17,,,DESM mapping model,desm:,,<http://purl.org/dc/terms/>,<https://github.com/t3-innovation-network/desm/tree/main/schemas/desmSchema/>,,,,
3,Text,Standard,2,,,,,,,,DESM mapping model,,,,,,,,,,,,,,
4,Text,Standard,2,,10,,,,,,2021-12-17,,,,,,,,,,,,,,
5,Text,Standard,2,,10,,,,,,dct:date,,,,,,,,,,,,,,
6,Class,UML,2,,,,,,,,desm:AbstractClassSet,"dct:title
dct:description
dct:created
dct:dateModified",,,,,,,,,,Resource aggregating mappings of two or more Abstract Class created by one or more Data Standards Organizations (DSOs).,Abstract Class Set,,This class is used only where a project creates mappings to more than one absbtract class that are intended by their creators to be viewed as a set.
7,Class,UML,2,,,,,,,,desm:AbstractClassMapping,"dct:title
dct:description
dct:created
dct:dateModified",,,,,,,,,,Resource describing mappings by one or more Data Standards Organizations (DSOs) to a single abstract class.,Abstract Class Mapping,,
8,Line,,2,,,6,7,Arrow,None,,dct:isPartOf,,,,,,,,,,,,,,
9,Line,,2,,,6,7,None,Arrow,,dct:hasPart,,,,,,,,,,,,,,
10,Group 1,,2,,,,,,,,,,,,,,,,,,,,,,
11,Group 2,,2,,,,,,,,,,,,,,,,,,,,,,
